,Links
676,#CITEREFBrooks1990
677,/wiki/Developmental_robotics
678,#CITEREFWengMcClellandPentlandSporns2001
679,#CITEREFLungarellaMettaPfeiferSandini2003
680,#CITEREFAsadaHosodaKuniyoshiIshiguro2009
681,#CITEREFOudeyer2010
682,#CITEREFRussellNorvig2021
683,#CITEREFCrevier1993
684,#CITEREFRussellNorvig2021
685,#CITEREFRussellNorvig2021
686,#Neat_vs._scruffy
687,#Narrow_vs._general_AI
688,#CITEREFRussellNorvig2021
689,#CITEREFMcCorduck2004
690,#CITEREFKurzweil2005
691,#CITEREFNRC1999
692,#CITEREFNewquist1994
693,#CITEREFWong2023
694,/wiki/Moore%27s_Law
695,#CITEREFRussellNorvig2021
696,#CITEREFClark2015b
697,/wiki/Big_data
698,#CITEREFRussellNorvig2021
699,https://www.wipo.int/about-ip/en/frontier_technologies/
700,https://web.archive.org/web/20220402064804/https://www.wipo.int/about-ip/en/frontier_technologies/
701,#CITEREFDiFeliciantonio2023
702,#CITEREFGoswami2023
703,#CITEREFTuring1950
704,/wiki/Turing_test
705,/wiki/Computing_machinery_and_intelligence
706,#CITEREFTuring1950
707,#CITEREFHaugeland1985
708,#CITEREFCrevier1993
